Bereich,Aspekt,Frage,Team,Wert
Zusammenarbeit,Kommunikation,Problemoffenheit,Team A,7
Zusammenarbeit,Kommunikation,Problemoffenheit,Team B,4
Zusammenarbeit,Kommunikation,Problemoffenheit,Team C,8
Zusammenarbeit,Kommunikation,Problemoffenheit,Team D,5
Zusammenarbeit,Kommunikation,Problemoffenheit,Team E,9
Zusammenarbeit,Kommunikation,Problemoffenheit,Team F,6
Zusammenarbeit,Kommunikation,Problemoffenheit,Team G,3
Zusammenarbeit,Kommunikation,Problemoffenheit,Team H,8
Zusammenarbeit,Kommunikation,Problemoffenheit,Team I,7
Zusammenarbeit,Kommunikation,Problemoffenheit,Team J,5
Zusammenarbeit,Kommunikation,Problemoffenheit,Team K,9
Zusammenarbeit,Kommunikation,Problemoffenheit,Team L,4
Zusammenarbeit,Kommunikation,Problemoffenheit,Team M,6
Zusammenarbeit,Kommunikation,Problemoffenheit,Team N,8
Zusammenarbeit,Kommunikation,Problemoffenheit,Team O,7
Zusammenarbeit,Kommunikation,Meetingkultur,Team A,6
Zusammenarbeit,Kommunikation,Meetingkultur,Team B,5
Zusammenarbeit,Kommunikation,Meetingkultur,Team C,7
Zusammenarbeit,Kommunikation,Meetingkultur,Team D,4
Zusammenarbeit,Kommunikation,Meetingkultur,Team E,8
Zusammenarbeit,Kommunikation,Meetingkultur,Team F,6
Zusammenarbeit,Kommunikation,Meetingkultur,Team G,3
Zusammenarbeit,Kommunikation,Meetingkultur,Team H,7
Zusammenarbeit,Kommunikation,Meetingkultur,Team I,8
Zusammenarbeit,Kommunikation,Meetingkultur,Team J,5
Zusammenarbeit,Kommunikation,Meetingkultur,Team K,9
Zusammenarbeit,Kommunikation,Meetingkultur,Team L,4
Zusammenarbeit,Kommunikation,Meetingkultur,Team M,6
Zusammenarbeit,Kommunikation,Meetingkultur,Team N,7
Zusammenarbeit,Kommunikation,Meetingkultur,Team O,8
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team A,8
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team B,5
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team C,9
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team D,6
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team E,8
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team F,7
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team G,4
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team H,9
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team I,7
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team J,6
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team K,8
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team L,5
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team M,7
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team N,9
Zusammenarbeit,Teamdynamik,Hilfsbereitschaft,Team O,8
Prozesse,Sprint Planning,Planungsqualität,Team A,7
Prozesse,Sprint Planning,Planungsqualität,Team B,5
Prozesse,Sprint Planning,Planungsqualität,Team C,8
Prozesse,Sprint Planning,Planungsqualität,Team D,6
Prozesse,Sprint Planning,Planungsqualität,Team E,9
Prozesse,Sprint Planning,Planungsqualität,Team F,7
Prozesse,Sprint Planning,Planungsqualität,Team G,4
Prozesse,Sprint Planning,Planungsqualität,Team H,8
Prozesse,Sprint Planning,Planungsqualität,Team I,7
Prozesse,Sprint Planning,Planungsqualität,Team J,6
Prozesse,Sprint Planning,Planungsqualität,Team K,9
Prozesse,Sprint Planning,Planungsqualität,Team L,5
Prozesse,Sprint Planning,Planungsqualität,Team M,7
Prozesse,Sprint Planning,Planungsqualität,Team N,8
Prozesse,Sprint Planning,Planungsqualität,Team O,7
Prozesse,Sprint Planning,Schätzgenauigkeit,Team A,5
Prozesse,Sprint Planning,Schätzgenauigkeit,Team B,4
Prozesse,Sprint Planning,Schätzgenauigkeit,Team C,6
Prozesse,Sprint Planning,Schätzgenauigkeit,Team D,5
Prozesse,Sprint Planning,Schätzgenauigkeit,Team E,7
Prozesse,Sprint Planning,Schätzgenauigkeit,Team F,5
Prozesse,Sprint Planning,Schätzgenauigkeit,Team G,3
Prozesse,Sprint Planning,Schätzgenauigkeit,Team H,6
Prozesse,Sprint Planning,Schätzgenauigkeit,Team I,5
Prozesse,Sprint Planning,Schätzgenauigkeit,Team J,4
Prozesse,Sprint Planning,Schätzgenauigkeit,Team K,7
Prozesse,Sprint Planning,Schätzgenauigkeit,Team L,4
Prozesse,Sprint Planning,Schätzgenauigkeit,Team M,5
Prozesse,Sprint Planning,Schätzgenauigkeit,Team N,6
Prozesse,Sprint Planning,Schätzgenauigkeit,Team O,5
Prozesse,Retrospektiven,Verbesserungen,Team A,6
Prozesse,Retrospektiven,Verbesserungen,Team B,4
Prozesse,Retrospektiven,Verbesserungen,Team C,7
Prozesse,Retrospektiven,Verbesserungen,Team D,5
Prozesse,Retrospektiven,Verbesserungen,Team E,8
Prozesse,Retrospektiven,Verbesserungen,Team F,6
Prozesse,Retrospektiven,Verbesserungen,Team G,3
Prozesse,Retrospektiven,Verbesserungen,Team H,7
Prozesse,Retrospektiven,Verbesserungen,Team I,6
Prozesse,Retrospektiven,Verbesserungen,Team J,5
Prozesse,Retrospektiven,Verbesserungen,Team K,8
Prozesse,Retrospektiven,Verbesserungen,Team L,4
Prozesse,Retrospektiven,Verbesserungen,Team M,6
Prozesse,Retrospektiven,Verbesserungen,Team N,7
