Bereich,Aspekt,Frage,Team,Wert
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 1,3
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 2,4
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 4,9
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 5,6
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 6,5
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 7,1
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 8,3
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 9,7
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 10,7
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 11,9
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 12,3
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 13,8
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 14,5
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 15,8
Arbeitsbedingungen,Arbeitszeiten,Arbeitszeiten,Team 3,10
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 1,3
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 2,2
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 3,1
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 4,1
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 5,7
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 6,5
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 7,3
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 8,5
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 9,9
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 10,2
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 12,1
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 14,3
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 15,2
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 11,10
Arbeitsbedingungen,Technische Ausstattung,Ausstattung,Team 13,10
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 1,2
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 2,9
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 3,5
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 4,4
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 5,3
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 6,2
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 7,5
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 8,4
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 9,7
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 10,8
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 11,7
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 12,4
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 13,3
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 14,10
Arbeitsklima,Arbeitsbelastung,Arbeitsbelastung,Team 15,10
Arbeitsklima,Erfolgsfeier,Erfolge,Team 1,5
Arbeitsklima,Erfolgsfeier,Erfolge,Team 2,2
Arbeitsklima,Erfolgsfeier,Erfolge,Team 4,6
Arbeitsklima,Erfolgsfeier,Erfolge,Team 5,1
Arbeitsklima,Erfolgsfeier,Erfolge,Team 6,1
Arbeitsklima,Erfolgsfeier,Erfolge,Team 7,3
Arbeitsklima,Erfolgsfeier,Erfolge,Team 8,9
Arbeitsklima,Erfolgsfeier,Erfolge,Team 9,4
Arbeitsklima,Erfolgsfeier,Erfolge,Team 10,7
Arbeitsklima,Erfolgsfeier,Erfolge,Team 11,4
Arbeitsklima,Erfolgsfeier,Erfolge,Team 12,7
Arbeitsklima,Erfolgsfeier,Erfolge,Team 13,3
Arbeitsklima,Erfolgsfeier,Erfolge,Team 14,5
Arbeitsklima,Erfolgsfeier,Erfolge,Team 15,8
Arbeitsklima,Erfolgsfeier,Erfolge,Team 3,10
Arbeitsklima,Motivation,Motivation,Team 1,2
Arbeitsklima,Motivation,Motivation,Team 2,1
Arbeitsklima,Motivation,Motivation,Team 3,6
Arbeitsklima,Motivation,Motivation,Team 5,4
Arbeitsklima,Motivation,Motivation,Team 6,8
Arbeitsklima,Motivation,Motivation,Team 8,3
Arbeitsklima,Motivation,Motivation,Team 10,8
Arbeitsklima,Motivation,Motivation,Team 11,2
Arbeitsklima,Motivation,Motivation,Team 12,7
Arbeitsklima,Motivation,Motivation,Team 15,2
Arbeitsklima,Motivation,Motivation,Team 4,10
Arbeitsklima,Motivation,Motivation,Team 7,10
Arbeitsklima,Motivation,Motivation,Team 9,10
Arbeitsklima,Motivation,Motivation,Team 13,10
Arbeitsklima,Motivation,Motivation,Team 14,10
Arbeitsklima,Stärken,Stärken,Team 1,8
Arbeitsklima,Stärken,Stärken,Team 3,9
Arbeitsklima,Stärken,Stärken,Team 5,9
Arbeitsklima,Stärken,Stärken,Team 6,4
Arbeitsklima,Stärken,Stärken,Team 7,9
Arbeitsklima,Stärken,Stärken,Team 8,6
Arbeitsklima,Stärken,Stärken,Team 10,7
Arbeitsklima,Stärken,Stärken,Team 11,6
Arbeitsklima,Stärken,Stärken,Team 12,2
Arbeitsklima,Stärken,Stärken,Team 13,6
Arbeitsklima,Stärken,Stärken,Team 14,9
Arbeitsklima,Stärken,Stärken,Team 15,7
Arbeitsklima,Stärken,Stärken,Team 2,10
Arbeitsklima,Stärken,Stärken,Team 4,10
Arbeitsklima,Stärken,Stärken,Team 9,10
Lernkultur,Feedback,Feedback,Team 1,3
Lernkultur,Feedback,Feedback,Team 2,7
Lernkultur,Feedback,Feedback,Team 4,9
Lernkultur,Feedback,Feedback,Team 5,1
Lernkultur,Feedback,Feedback,Team 6,8
Lernkultur,Feedback,Feedback,Team 7,6
Lernkultur,Feedback,Feedback,Team 8,8
Lernkultur,Feedback,Feedback,Team 9,2
Lernkultur,Feedback,Feedback,Team 10,6
Lernkultur,Feedback,Feedback,Team 12,8
Lernkultur,Feedback,Feedback,Team 13,7
Lernkultur,Feedback,Feedback,Team 14,3
Lernkultur,Feedback,Feedback,Team 15,4
Lernkultur,Feedback,Feedback,Team 3,10
Lernkultur,Feedback,Feedback,Team 11,10
Lernkultur,Innovation,Innovativ,Team 1,6
Lernkultur,Innovation,Innovativ,Team 2,4
Lernkultur,Innovation,Innovativ,Team 3,8
Lernkultur,Innovation,Innovativ,Team 4,5
Lernkultur,Innovation,Innovativ,Team 6,1
Lernkultur,Innovation,Innovativ,Team 7,5
Lernkultur,Innovation,Innovativ,Team 8,4
Lernkultur,Innovation,Innovativ,Team 9,8
Lernkultur,Innovation,Innovativ,Team 10,5
Lernkultur,Innovation,Innovativ,Team 11,7
Lernkultur,Innovation,Innovativ,Team 12,7
Lernkultur,Innovation,Innovativ,Team 14,3
